sample,unchangedRefreshMs
1,0.08629200000001447
2,0.06441599999999426
3,0.04929199999997991
4,0.05041700000003857
5,0.03912499999995589
6,0.03983299999998735
7,0.05099999999998772
8,0.03899999999998727
9,0.03445800000002919
10,0.03370799999999008
11,0.03058299999997871
12,0.029291999999998097
13,0.027791999999976724
14,0.028165999999998803
15,0.02812499999998863
16,0.03212499999995089
17,0.028624999999976808
18,0.029375000000015916
19,0.03258299999998826
20,0.03233299999999417
21,0.027165999999965607
22,0.030167000000005828
23,0.02887500000002774
24,0.028833000000020093
25,0.02687500000001819
26,0.03462500000000546
27,0.026707999999985077
28,0.02916699999997263
29,0.026666999999974905
30,0.02637499999997317
31,0.025874999999984993
32,0.02612499999997908
33,0.026333000000022366
34,0.02650000000005548
35,0.026042000000018106
36,0.02691600000002836
37,0.029209000000037122
38,0.025791000000026543
39,0.025624999999990905
40,0.02704199999999446
41,0.0257909999999697
42,0.025791999999967175
43,0.03504099999997834
44,0.02637499999997317
45,0.02554200000002993
46,0.029832999999996446
47,0.02604100000002063
48,0.027125000000012278
49,0.02991700000001174
50,0.02549999999996544
51,0.02549999999996544
52,0.02808399999997846
53,0.025458000000014636
54,0.027125000000012278
55,0.027792000000033568
56,0.026791000000002896
57,0.03520800000001145
58,0.028666999999984455
59,0.03141600000003564
60,0.02904200000000401
